id,mediapipe_name,td_channel_name,yolo_simple_name,yolo_complex_name
0,nose,nose,nose,nose
1,eye_inner_l,eye_inner_l,eye_l,eye_l
2,eye_l,eye_l,eye_r,eye_r
3,eye_outer_l,eye_outer_l,ear_l,ear_l
4,eye_inner_r,eye_inner_r,ear_r,ear_r
5,eye_r,eye_r,shoulder_l,shoulder_l
6,eye_outer_r,eye_outer_r,shoulder_r,shoulder_r
7,ear_l,ear_l,elbow_l,elbow_l
8,ear_r,ear_r,elbow_r,elbow_r
9,mouth_l,mouth_l,wrist_l,wrist_l
10,mouth_r,mouth_r,wrist_r,wrist_r
11,shoulder_l,shoulder_l,hip_l,hip_l
12,shoulder_r,shoulder_r,hip_r,hip_r
13,elbow_l,elbow_l,knee_l,knee_l
14,elbow_r,elbow_r,knee_r,knee_r
15,wrist_l,wrist_l,ankle_l,ankle_l
16,wrist_r,wrist_r,ankle_r,ankle_r
17,pinky_l,pinky_l,,
18,pinky_r,pinky_r,,
19,handtip_l,handtip_l,,
20,handtip_r,handtip_r,,
21,thumb_l,thumb_l,,
22,thumb_r,thumb_r,,
23,hip_l,hip_l,,
24,hip_r,hip_r,,
25,knee_l,knee_l,,
26,knee_r,knee_r,,
27,ankle_l,ankle_l,,
28,ankle_r,ankle_r,,
29,heel_l,heel_l,,
30,heel_r,heel_r,,
31,foot_l,foot_l,,
32,foot_r,foot_r,,
